locus_tag,gene,producto,inicio,fin,longitud_nt,longitud_aa,strand,protein_id
b0604,dsbG,protein sulfenic acid reductase and chaperone DsbG,637826,638573,747,249,-,AAC73705.2
b0605,ahpC,"alkyl hydroperoxide reductase, AhpC component",638944,639508,564,188,+,AAC73706.1
b0606,ahpF,"alkyl hydroperoxide reductase, AhpF component",639752,641318,1566,522,+,AAC73707.2
b0607,uspG,universal stress protein G,641438,641867,429,143,-,AAC73708.1
b0608,ybdR,putative Zn(2(+))-dependent alcohol dehydrogenase YbdR,642087,643326,1239,413,+,AAC73709.1
b4734,yldA,protein YldA,643329,643419,90,30,-,AYC08185.1
b0610,rnk,nucleoside diphosphate kinase regulator,643556,643967,411,137,-,AAC73711.1
b0611,rna,RNase I,644196,645003,807,269,-,AAC73712.1
b0612,citT,citrate:succinate antiporter,645116,646580,1464,488,-,AAC73713.1
b0613,citG,triphosphoribosyl-dephospho-CoA synthase,646630,647509,879,293,-,AAC73714.1
b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,647483,648035,552,184,-,AAC73715.1
b0615,citF,citrate lyase alpha subunit,648038,649571,1533,511,-,AAC73716.1
b0616,citE,citrate lyase beta subunit,649581,650490,909,303,-,AAC73717.2
b0617,citD,citrate lyase acyl carrier protein,650486,650783,297,99,-,AAC73718.1
b0618,citC,citrate lyase synthetase,650797,651856,1059,353,-,AAC73719.2
b0619,dpiB,sensor histidine kinase DpiB,652234,653893,1659,553,+,AAC73720.1
b0620,dpiA,DNA-binding transcriptional dual regulator DpiA,653861,654542,681,227,+,AAC73721.1
b0621,dcuC,anaerobic C4-dicarboxylate transporter DcuC,654582,655968,1386,462,-,AAC73722.1
b0622,pagP,Lipid A palmitoyltransferase,656556,657117,561,187,+,AAC73723.1
b0623,cspE,transcription antiterminator and regulator of RNA stability CspE,657291,657501,210,70,+,AAC73724.1
b0624,crcB,F(-) channel,657554,657938,384,128,-,AAC73725.1
b0627,tatE,twin arginine protein translocation system - TatE protein,658946,659150,204,68,+,AAC73728.1
b0628,lipA,lipoyl synthase,659250,660216,966,322,-,AAC73729.1
b0629,ybeF,putative DNA-binding transcriptional regulator YbeF,660424,661378,954,318,-,AAC73730.2
b0630,lipB,lipoyl(octanoyl) transferase,661636,662278,642,214,-,AAC73731.2
b0631,ybeD,DUF493 domain-containing protein YbeD,662378,662642,264,88,-,AAC73732.1
b0632,dacA,D-alanyl-D-alanine carboxypeptidase DacA,662751,663963,1212,404,-,AAC73733.1
b0633,rlpA,rare lipoprotein RlpA,664101,665190,1089,363,-,AAC73734.1
b0634,mrdB,peptidoglycan glycosyltransferase MrdB,665200,666313,1113,371,-,AAC73735.1
b0635,mrdA,peptidoglycan DD-transpeptidase MrdA,666315,668217,1902,634,-,AAC73736.1
b0636,rlmH,23S rRNA m(3)psi1915 methyltransferase,668247,668715,468,156,-,AAC73737.1
b0637,rsfS,ribosomal silencing factor RsfS,668718,669036,318,106,-,AAC73738.2
b0638,cobC,putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase,669295,669907,612,204,-,AAC73739.1
b0639,nadD,nicotinate-nucleotide adenylyltransferase,669930,670572,642,214,-,AAC73740.1
b0640,holA,DNA polymerase III subunit delta,670573,671605,1032,344,-,AAC73741.1
b0641,lptE,lipopolysaccharide assembly protein LptE,671604,672186,582,194,-,AAC73742.1
b0642,leuS,leucine--tRNA ligase,672200,674783,2583,861,-,AAC73743.1
b0643,ybeL,DUF1451 domain-containing protein YbeL,675017,675500,483,161,+,AAC73744.1
b0644,ybeQ,Sel1 repeat-containing protein YbeQ,675569,676547,978,326,-,AAC73745.2
b0645,ybeR,DUF1266 domain-containing protein YbeR,676710,677418,708,236,+,AAC73746.1
b0646,djlB,J domain-containing protein DjlB,677414,678842,1428,476,+,AAC73747.1
b0647,ybeT,Sel1 repeat-containing protein YbeT,678851,679406,555,185,-,AAC73748.1
b0648,ybeU,DUF1266 domain-containing protein YbeU,679507,680215,708,236,+,AAC73749.1
b0649,djlC,co-chaperone DjlC,680211,681663,1452,484,+,AAC73750.1
b0650,hscC,chaperone protein HscC,681722,683393,1671,557,-,AAC73751.1
b0651,rihA,pyrimidine-specific ribonucleoside hydrolase RihA,683476,684412,936,312,-,AAC73752.1
b0652,gltL,glutamate/aspartate ABC transporter ATP binding subunit,684529,685255,726,242,-,AAC73753.1
b0653,gltK,glutamate/aspartate ABC transporter membrane subunit GltK,685254,685929,675,225,-,AAC73754.1
b0654,gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ,685928,686669,741,247,-,AAC73755.1
b0655,gltI,glutamate/aspartate ABC transporter periplasmic binding protein,686838,687747,909,303,-,AAC73756.1
b0656,insH3,IS5 transposase and trans-activator,687996,688977,981,327,-,AAC73757.2
b0657,lnt,apolipoprotein N-acyltransferase,689342,690881,1539,513,-,AAC73758.1
b0658,ybeX,CorC-HlyC family protein YbeX,690905,691784,879,293,-,AAC73759.1
b0659,ybeY,endoribonuclease YbeY,691873,692341,468,156,-,AAC73760.1
b0660,ybeZ,PhoH-like protein,692337,693378,1041,347,-,AAC73761.2
b0661,miaB,isopentenyl-adenosine A37 tRNA methylthiolase,693530,694955,1425,475,-,AAC73762.1
b0662,ubiF,3-demethoxyubiquinol 3-hydroxylase,695100,696276,1176,392,+,AAC73763.1
b0674,asnB,asparagine synthetase B,697512,699177,1665,555,-,AAC73768.1
b0675,umpH,UMP phosphatase,699573,700326,753,251,-,AAC73769.1
b0676,nagC,DNA-binding transcriptional dual regulator NagC,700373,701594,1221,407,-,AAC73770.1
b0677,nagA,N-acetylglucosamine-6-phosphate deacetylase,701602,702751,1149,383,-,AAC73771.1
b0678,nagB,glucosamine-6-phosphate deaminase,702810,703611,801,267,-,AAC73772.1
b0679,nagE,N-acetylglucosamine-specific PTS enzyme IIABC component,703943,705890,1947,649,+,AAC73773.1
b0680,glnS,glutamine--tRNA ligase,706092,707757,1665,555,+,AAC73774.1
b0681,chiP,chitooligosaccharide outer membrane channel,708333,709740,1407,469,+,AAC73775.1
b0682,chiQ,lipoprotein ChiQ,709789,710116,327,109,+,AAC73776.1
b0683,fur,DNA-binding transcriptional dual regulator Fur,710199,710646,447,149,-,AAC73777.1
b4637,uof,RyhB-regulated fur leader peptide,710638,710725,87,29,-,ABV59574.1
b0684,fldA,flavodoxin 1,710934,711465,531,177,-,AAC73778.1
b0685,ybfE,ribbon-helix-helix domain-containing protein YbfE,711604,711898,294,98,-,AAC73779.2
b0686,ybfF,esterase,712037,712802,765,255,-,AAC73780.1
b0687,seqA,negative modulator of initiation of replication,712986,713532,546,182,+,AAC73781.1
b0688,pgm,phosphoglucomutase,713557,715198,1641,547,+,AAC73782.1
b0689,ybfP,lipoprotein YbfP,715411,715906,495,165,+,AAC73783.1
b0692,potE,putrescine transporter PotE,716945,718265,1320,440,-,AAC73786.1
b0693,speF,inducible ornithine decarboxylase,718261,720460,2199,733,-,AAC73787.1
b4803,speFL,leader peptide SpeFL,720717,720822,105,35,-,QNV50557.1
b0694,kdpE,DNA-binding transcriptional dual regulator KdpE,721055,721733,678,226,-,AAC73788.1
b0695,kdpD,sensor histidine kinase KdpD,721729,724414,2685,895,-,AAC73789.1
b0696,kdpC,K(+) transporting P-type ATPase subunit KdpC,724406,724979,573,191,-,AAC73790.1
b0697,kdpB,K(+) transporting P-type ATPase subunit KdpB,724987,727036,2049,683,-,AAC73791.1
b0698,kdpA,K(+) transporting P-type ATPase subunit KdpA,727058,728732,1674,558,-,AAC73792.1
b4513,kdpF,K(+) transporting P-type ATPase subunit KdpF,728731,728821,90,30,-,ABD18643.1
b0699,ybfA,DUF2517 domain-containing protein YbfA,729133,729340,207,69,+,AAC73793.1
b0700,rhsC,rhs element protein RhsC,729582,733776,4194,1398,+,AAC73794.1
b0702,ybfB,uncharacterized protein YbfB,733775,734102,327,109,+,AAC73796.1
b0704,ybfC,uncharacterized protein YbfC,735649,736219,570,190,+,AAC73798.1
b4514,ybfQ,inactive transposase YbfQ,736444,736699,255,85,+,AYC08186.1
b0706,ybfD,H repeat-associated putative transposase YbfD,738091,738853,762,254,+,AAC73800.1
b0707,ybgA,DUF1722 domain-containing protein YbgA,739000,739510,510,170,+,AAC73801.1
b0708,phr,deoxyribodipyrimidine photolyase,739506,740925,1419,473,+,AAC73802.1
b0709,dtpD,dipeptide:H(+) symporter DtpD,741074,742556,1482,494,-,AAC73803.1
b0710,ybgI,radiation resistance protein YbgI,742826,743570,744,248,+,AAC73804.1
b0711,pxpB,5-oxoprolinase component B,743592,744249,657,219,+,AAC73805.1
b0712,pxpC,5-oxoprolinase component C,744242,745175,933,311,+,AAC73806.1
b0713,pxpA,5-oxoprolinase component A,745164,745899,735,245,+,AAC73807.1
b0714,nei,endonuclease VIII,745934,746726,792,264,+,AAC73808.1
b0715,abrB,putative regulator,746722,747769,1047,349,-,AAC73809.2
b0716,ybgO,putative fimbrial protein YbgO,747920,748982,1062,354,-,AAC73810.2
b0717,ybgP,putative fimbrial chaperone YbgP,748978,749707,729,243,-,AAC73811.1
b0718,ybgQ,putative fimbrial usher protein YbgQ,749721,752169,2448,816,-,AAC73812.2
b0719,ybgD,putative fimbrial protein YbgD,752228,752795,567,189,-,AAC73813.1
b0720,gltA,citrate synthase,753184,754468,1284,428,-,AAC73814.1
b4768,ybgV,protein YbgV,754657,754690,33,11,-,QNV50521.1
b4735,ybgU,protein YbgU,754673,754781,108,36,-,AYC08187.1
b0721,sdhC,"succinate:quinone oxidoreductase, membrane protein SdhC",755176,755566,390,130,+,AAC73815.1
b0722,sdhD,"succinate:quinone oxidoreductase, membrane protein SdhD",755559,755907,348,116,+,AAC73816.1
b0723,sdhA,"succinate:quinone oxidoreductase, FAD binding protein",755906,757673,1767,589,+,AAC73817.1
b0724,sdhB,"succinate:quinone oxidoreductase, [Fe-S] cluster binding protein",757688,758405,717,239,+,AAC73818.1
b0726,sucA,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,758705,761507,2802,934,+,AAC73820.1
b0727,sucB,2-oxoglutarate dehydrogenase E2 subunit,761521,762739,1218,406,+,AAC73821.1
b0728,sucC,succinyl-CoA synthetase subunit beta,763013,764180,1167,389,+,AAC73822.1
b0729,sucD,succinyl-CoA synthetase subunit alpha,764179,765049,870,290,+,AAC73823.1
b0730,mngR,DNA-binding transcriptional repressor MngR,765152,765875,723,241,-,AAC73824.1
b0731,mngA,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,765983,767960,1977,659,+,AAC73825.1
b0732,mngB,alpha-mannosidase,767977,770611,2634,878,+,AAC73826.1
b0733,cydA,cytochrome bd-I subunit 1,771457,773026,1569,523,+,AAC73827.2
b0734,cydB,cytochrome bd-I subunit 2,773041,774181,1140,380,+,AAC73828.1
b4515,cydX,cytochrome bd-I accessory subunit CydX,774195,774309,114,38,+,ABD18645.1
b0735,ybgE,PF09600 family protein YbgE,774308,774602,294,98,+,AAC73829.1
b0736,ybgC,esterase/thioesterase,774751,775156,405,135,+,AAC73830.1
b0737,tolQ,Tol-Pal system protein TolQ,775152,775845,693,231,+,AAC73831.1
b0738,tolR,Tol-Pal system protein TolR,775848,776277,429,143,+,AAC73832.1
b0739,tolA,Tol-Pal system protein TolA,776341,777607,1266,422,+,AAC73833.1
b0740,tolB,Tol-Pal system periplasmic protein TolB,777739,779032,1293,431,+,AAC73834.1
b0741,pal,peptidoglycan-associated outer membrane lipoprotein Pal,779066,779588,522,174,+,AAC73835.1
b0742,cpoB,cell division coordinator CpoB,779597,780389,792,264,+,AAC73836.1
b0750,nadA,quinolinate synthase,782084,783128,1044,348,+,AAC73837.1
b0751,pnuC,nicotinamide riboside transporter,783165,783885,720,240,+,AAC73838.1
b0752,zitB,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,783881,784823,942,314,-,AAC73839.1
b0753,ybgS,PF13985 family protein YbgS,784936,785317,381,127,-,AAC73840.1
b0754,aroG,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",785632,786685,1053,351,+,AAC73841.1
b0755,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",786842,787595,753,251,-,AAC73842.1
b0756,galM,galactose-1-epimerase,787796,788837,1041,347,-,AAC73843.1
b0757,galK,galactokinase,788830,789979,1149,383,-,AAC73844.1
b0758,galT,galactose-1-phosphate uridylyltransferase,789982,791029,1047,349,-,AAC73845.1
b0759,galE,UDP-glucose 4-epimerase,791038,792055,1017,339,-,AAC73846.1
b0760,modF,ABC family protein ModF,792315,793788,1473,491,-,AAC73847.1
b0761,modE,DNA-binding transcriptional dual regulator ModE,793855,794644,789,263,-,AAC73848.1
b0762,acrZ,multidrug efflux pump accessory protein AcrZ,794772,794922,150,50,+,AAC73849.1
b0763,modA,molybdate ABC transporter periplasmic binding protein,795088,795862,774,258,+,AAC73850.1
b0764,modB,molybdate ABC transporter membrane subunit,795861,796551,690,230,+,AAC73851.1
b0765,modC,molybdate ABC transporter ATP binding subunit,796553,797612,1059,353,+,AAC73852.1
b0766,ybhA,"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",797612,798431,819,273,-,AAC73853.1
b0767,pgl,6-phosphogluconolactonase,798585,799581,996,332,+,AAC73854.1
b0768,ybhD,putative DNA-binding transcriptional regulator YbhD,799621,800575,954,318,-,AAC73855.2
b0769,ybhH,putative isomerase YbhH,800758,801811,1053,351,+,AAC73856.1
b0770,ybhI,putative tricarboxylate transporter,801886,803320,1434,478,+,AAC73857.1
b0771,ybhJ,putative hydratase YbhJ,803502,805764,2262,754,+,AAC73858.2
b0772,ybhC,outer membrane lipoprotein YbhC,805997,807281,1284,428,-,AAC73859.1
b0773,ybhB,putative kinase inhibitor,807432,807909,477,159,-,AAC73860.1
b0774,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,807967,809257,1290,430,-,AAC73861.1
b0775,bioB,biotin synthase,809343,810384,1041,347,+,AAC73862.1
b0776,bioF,8-amino-7-oxononanoate synthase,810380,811535,1155,385,+,AAC73863.1
b0777,bioC,malonyl-acyl carrier protein methyltransferase,811521,812277,756,252,+,AAC73864.1
b0778,bioD,dethiobiotin synthetase,812269,812947,678,226,+,AAC73865.1
b0779,uvrB,UvrABC excision nuclease subunit B,813525,815547,2022,674,+,AAC73866.1
b0780,ybhK,putative transferase YbhK,815738,816647,909,303,-,AAC73867.1
b0781,moaA,"GTP 3',8'-cyclase",817043,818033,990,330,+,AAC73868.1
b0782,moaB,protein MoaB,818054,818567,513,171,+,AAC73869.1
b0783,moaC,cyclic pyranopterin monophosphate synthase,818569,819055,486,162,+,AAC73870.1
b0784,moaD,molybdopterin synthase sulfur carrier subunit,819047,819293,246,82,+,AAC73871.1
b0785,moaE,molybdopterin synthase catalytic subunit,819294,819747,453,151,+,AAC73872.1
b0786,ybhL,Bax1-I family protein YbhL,819883,820588,705,235,+,AAC73873.1
b0787,ybhM,Bax1-I family protein YbhM,820792,821506,714,238,+,AAC73874.1
b0788,ybhN,PF03706 family inner membrane protein YbhN,821541,822498,957,319,-,AAC73875.1
b0789,clsB,cardiolipin synthase B,822497,823739,1242,414,-,AAC73876.1
b0790,ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,823735,824497,762,254,-,AAC73877.1
b0791,ybhQ,inner membrane protein YbhQ,824629,825040,411,137,+,AAC73878.1
b0792,ybhR,ABC exporter membrane subunit YbhR,825001,826108,1107,369,-,AAC73879.1
b0793,ybhS,ABC exporter membrane subunit YbhS,826118,827252,1134,378,-,AAC73880.1
b0794,ybhF,ABC exporter ATP binding subunit YbhF,827244,828981,1737,579,-,AAC73881.2
b0795,ybhG,HlyD_D23 family protein YbhG,828973,829972,999,333,-,AAC73882.1
b0796,cecR,DNA-binding transcriptional dual regulator CecR,829971,830643,672,224,-,AAC73883.2
b0797,rhlE,ATP-dependent RNA helicase RhlE,830871,832236,1365,455,+,AAC73884.1
b0798,ybiA,N-glycosidase YbiA,832467,832950,483,161,-,AAC73885.1
b0799,dinG,ATP-dependent DNA helicase DinG,833069,835220,2151,717,+,AAC73886.1
b0800,ybiB,nonspecific DNA-binding protein YbiB,835247,836210,963,321,+,AAC73887.1
b0801,hcxB,hydroxycarboxylate dehydrogenase B,836350,837436,1086,362,+,AAC73888.1
b4769,ybiE,protein YbiE,837502,837562,60,20,+,QNV50522.1
b0802,ybiJ,DUF1471 domain-containing protein YbiJ,837664,837925,261,87,-,AAC73889.1
b0803,ybiI,zinc finger domain-containing protein YbiI,838189,838456,267,89,-,AAC73890.1
b0804,ybiX,PKHD-type hydroxylase YbiX,838529,839207,678,226,-,AAC73891.2
b0805,fiu,Fe catecholate outer membrane transporter Fiu,839248,841531,2283,761,-,AAC73892.1
b0806,mcbA,DUF1471 domain-containing protein McbA,841795,842056,261,87,-,AAC73893.2
b0807,rlmF,23S rRNA m(6)A1618 methyltransferase,842331,843258,927,309,+,AAC73894.2
b0808,ybiO,moderate conductance mechanosensitive channel YbiO,843254,845480,2226,742,-,AAC73895.2
b0809,glnQ,L-glutamine ABC transporter ATP binding subunit,845740,846463,723,241,-,AAC73896.1
b0810,glnP,L-glutamine ABC transporter membrane subunit,846459,847119,660,220,-,AAC73897.1
b0811,glnH,L-glutamine ABC transporter periplasmic binding protein,847257,848004,747,249,-,AAC73898.1
b0812,dps,DNA protection during starvation protein,848407,848911,504,168,-,AAC73899.1
b0813,rhtA,L-threonine/L-homoserine exporter,849209,850097,888,296,-,AAC73900.1
b4736,yliM,protein YliM,850331,850397,66,22,+,AYC08188.1
b0814,ompX,outer membrane protein X,850449,850965,516,172,+,AAC73901.1
b0815,opgE,phosphoethanolamine transferase OpgE,851013,852597,1584,528,-,AAC73902.1
b4705,mntS,small protein MntS,852868,852997,129,43,-,AHA50631.1
b0817,mntR,DNA-binding transcriptional dual regulator MntR,853182,853650,468,156,+,AAC73904.1
b0818,ybiR,putative transporter YbiR,853646,854765,1119,373,+,AAC73905.1
b0819,ldtB,"L,D-transpeptidase LdtB",854823,855744,921,307,-,AAC73906.1
b0820,ybiT,putative ATP-binding protein YbiT,855962,857555,1593,531,+,AAC73907.1
b0821,ybiU,DUF1479 domain-containing protein YbiU,857795,859061,1266,422,-,AAC73908.1
b0822,ybiV,sugar phosphatase YbiV,859212,860028,816,272,-,AAC73909.1
b0823,ybiW,putative pyruvate formate lyase,860173,862606,2433,811,-,AAC73910.1
b0824,ybiY,putative pyruvate formate-lyase activating enzyme YbiY,862611,863511,900,300,-,AAC73911.2
b0825,fsaA,fructose-6-phosphate aldolase 1,863641,864304,663,221,+,AAC73912.2
b0826,moeB,molybdopterin-synthase adenylyltransferase,864379,865129,750,250,-,AAC73913.1
b0827,moeA,molybdopterin molybdotransferase,865128,866364,1236,412,-,AAC73914.1
b0828,iaaA,isoaspartyl dipeptidase proenzyme,866567,867533,966,322,+,AAC73915.1
b0829,gsiA,glutathione ABC transporter ATP binding subunit GsiA,867519,869391,1872,624,+,AAC73916.2
b0830,gsiB,glutathione ABC transporter periplasmic binding protein,869410,870949,1539,513,+,AAC73917.1
b0831,gsiC,glutathione ABC transporter membrane subunit GsiC,870966,871887,921,307,+,AAC73918.1
b0832,gsiD,glutathione ABC transporter membrane subunit GsiD,871889,872801,912,304,+,AAC73919.1
b0833,pdeI,putative cyclic di-GMP phosphodiesterase PdeI,872978,875327,2349,783,+,AAC73920.1
b0834,dgcI,putative diguanylate cyclase DgcI,875334,876663,1329,443,+,AAC73921.1
b0835,rimO,ribosomal protein S12 methylthiotransferase RimO,876709,878035,1326,442,-,AAC73922.1
b0836,bssR,regulator of biofilm formation,878247,878631,384,128,+,AAC73923.1
b0837,yliI,aldose sugar dehydrogenase YliI,878741,879857,1116,372,+,AAC73924.1
b0838,gstB,glutathione S-transferase GstB,879853,880480,627,209,-,AAC73925.2
b0839,dacC,D-alanyl-D-alanine carboxypeptidase DacC,880726,881929,1203,401,+,AAC73926.1
b0840,deoR,DNA-binding transcriptional repressor DeoR,881975,882734,759,253,-,AAC73927.1
b0841,ybjG,undecaprenyl pyrophosphate phosphatase,882791,883388,597,199,-,AAC73928.1
b0842,mdfA,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,883672,884905,1233,411,+,AAC73929.1
b0843,ybjH,uncharacterized protein YbjH,884945,885230,285,95,-,AAC73930.1
b0844,ybjI,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,885315,886131,816,272,-,AAC73931.2
b0845,ybjJ,inner membrane protein YbjJ,886130,887339,1209,403,-,AAC73932.1
b0846,rcdA,DNA binding transcriptional dual regulator RcdA,887422,887959,537,179,+,AAC73933.1
b0847,ybjL,putative transport protein YbjL,888133,889819,1686,562,-,AAC73934.1
b0848,ybjM,putative inner membrane protein,890088,890466,378,126,+,AAC73935.1
b0849,grxA,reduced glutaredoxin 1,890495,890753,258,86,-,AAC73936.1
b0850,ybjC,DUF1418 domain-containing protein YbjC,890912,891200,288,96,+,AAC73937.1
b0851,nfsA,NADPH-dependent nitro/quinone reductase NfsA,891183,891906,723,241,+,AAC73938.1
b0852,rimK,ribosomal protein S6 modification protein,891966,892869,903,301,+,AAC73939.1
b0853,ybjN,protein YbjN,892956,893433,477,159,+,AAC73940.1
b0854,potF,putrescine ABC transporter periplasmic binding protein,893783,894896,1113,371,+,AAC73941.1
b0855,potG,putrescine ABC transporter ATP binding subunit,894990,896124,1134,378,+,AAC73942.2
b0856,potH,putrescine ABC transporter membrane subunit PotH,896133,897087,954,318,+,AAC73943.1
b0857,potI,putrescine ABC transporter membrane subunit PotI,897083,897929,846,282,+,AAC73944.1
b0858,ybjO,putative inner membrane protein,897988,898477,489,163,+,AAC73945.1
b0859,rlmC,23S rRNA m(5)U747 methyltransferase,898517,899645,1128,376,+,AAC73946.1
b0860,artJ,L-arginine ABC transporter periplasmic binding protein,899843,900575,732,244,-,AAC73947.1
b0861,artM,L-arginine ABC transporter membrane subunit ArtM,900865,901534,669,223,-,AAC73948.1
b0862,artQ,L-arginine ABC transporter membrane subunit ArtQ,901533,902250,717,239,-,AAC73949.1
b0863,artI,putative ABC transporter periplasmic binding protein ArtI,902256,902988,732,244,-,AAC73950.1
b0864,artP,L-arginine ABC transporter ATP binding subunit,903005,903734,729,243,-,AAC73951.1
b0865,ybjP,DUF3828 domain-containing lipoprotein YbjP,903951,904467,516,172,-,AAC73952.1
b0866,ybjQ,putative heavy metal binding protein YbjQ,904592,904916,324,108,+,AAC73953.1
b0867,amiD,N-acetylmuramoyl-L-alanine amidase D,904912,905743,831,277,+,AAC73954.1
b0868,ybjS,putative epimerase YbjS,905739,906753,1014,338,-,AAC73955.2
b0869,ybjT,putative NAD(P)-binding protein YbjT,906851,908282,1431,477,-,AAC73956.2
b0870,ltaE,low-specificity L-threonine aldolase,908292,909294,1002,334,-,AAC73957.1
b0871,poxB,pyruvate oxidase,909330,911049,1719,573,-,AAC73958.1
b0872,hcr,NADH oxidoreductase,911181,912150,969,323,-,AAC73959.1
b0873,hcp,protein S-nitrosylase,912161,913814,1653,551,-,AAC73960.2
b0874,lysO,L-lysine/thialysine exporter,913957,914857,900,300,-,AAC73961.2
b0875,aqpZ,water channel AqpZ,915351,916047,696,232,-,AAC73962.1
b0876,ybjD,DUF2813 domain-containing protein YbjD,916472,918131,1659,553,+,AAC73963.1
b0877,ybjX,DUF535 domain-containing protein YbjX,918127,919120,993,331,-,AAC73964.1
b0878,macA,ABC-type tripartite efflux pump membrane fusion protein,919234,920350,1116,372,+,AAC73965.2
b0879,macB,ABC-type tripartite efflux pump ATP binding/membrane subunit,920346,922293,1947,649,+,AAC73966.1
b0880,cspD,DNA replication inhibitor CspD,922365,922590,225,75,-,AAC73967.1
b4770,yljB,protein YljB,922739,922814,75,25,+,QNV50523.1
b0881,clpS,specificity factor for ClpA-ClpP chaperone-protease complex,922912,923233,321,107,+,AAC73968.1
b0882,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,923263,925540,2277,759,+,AAC73969.1
b0884,infA,translation initiation factor IF-1,926224,926443,219,73,-,AAC73970.1
b0885,aat,leucyl/phenylalanyl-tRNA--protein transferase,926727,927432,705,235,-,AAC73971.1
b0886,cydC,heme ABC transporter subunit CydC,927473,929195,1722,574,-,AAC73972.1
b0887,cydD,heme ABC transporter subunit CydD,929195,930962,1767,589,-,AAC73973.1
b0888,trxB,thioredoxin reductase,931084,932050,966,322,-,AAC73974.1
b0889,lrp,DNA-binding transcriptional dual regulator Lrp,932594,933089,495,165,+,AAC73975.1
b0890,ftsK,cell division DNA translocase FtsK,933223,937213,3990,1330,+,AAC73976.1
b0891,lolA,outer membrane lipoprotein carrier protein,937371,937983,612,204,+,AAC73977.2
b0892,rarA,replication-associated recombination protein A,937993,939337,1344,448,+,AAC73978.1
b0893,serS,serine--tRNA ligase,939427,940720,1293,431,+,AAC73979.1
b0894,dmsA,dimethyl sulfoxide reductase subunit A,940958,943403,2445,815,+,AAC73980.2
b0895,dmsB,dimethyl sulfoxide reductase subunit B,943413,944031,618,206,+,AAC73981.1
b0896,dmsC,dimethyl sulfoxide reductase subunit C,944032,944896,864,288,+,AAC73982.1
b0897,ycaC,putative hydrolase YcaC,944930,945557,627,209,-,AAC73983.1
b0898,ycaD,putative transporter YcaD,945870,947019,1149,383,+,AAC73984.1
b0899,ycaM,putative transporter YcaM,947228,948659,1431,477,+,AAC73985.2
b0900,ycaN,putative DNA-binding transcriptional regulator YcaN,948659,949568,909,303,-,AAC73986.1
b0901,ycaK,putative oxidoreductase YcaK,949667,950258,591,197,+,AAC73987.1
b0902,pflA,pyruvate formate-lyase activating enzyme,950339,951080,741,247,-,AAC73988.1
b0903,pflB,pyruvate formate-lyase,951271,953554,2283,761,-,AAC73989.1
b0904,focA,formate channel FocA,953608,954466,858,286,-,AAC73990.1
b0905,ycaO,ribosomal protein S12 methylthiotransferase accessory factor YcaO,954871,956632,1761,587,-,AAC73991.2
b0906,ycaP,DUF421 domain-containing protein YcaP,956761,957454,693,231,+,AAC73992.1
b0907,serC,phosphoserine/phosphohydroxythreonine aminotransferase,957652,958741,1089,363,+,AAC73993.1
b0908,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,958811,960095,1284,428,+,AAC73994.1
b0909,ycaL,periplasmic protease YcaL,960263,961028,765,255,+,AAC73995.2
b0910,cmk,cytidylate kinase,961200,961884,684,228,+,AAC73996.1
b0911,rpsA,30S ribosomal subunit protein S1,961994,963668,1674,558,+,AAC73997.1
b0912,ihfB,integration host factor subunit beta,963827,964112,285,95,+,AAC73998.1
b0913,ycaI,metallo-beta-lactamase superfamily inner membrane protein YcaI,964319,966584,2265,755,+,AAC73999.2
b0914,msbA,ATP-binding lipopolysaccharide transport protein,966620,968369,1749,583,+,AAC74000.1
b0915,lpxK,tetraacyldisaccharide 4'-kinase,968365,969352,987,329,+,AAC74001.1
b0916,ycaQ,interstrand DNA crosslink repair glycosylase,969388,970621,1233,411,+,AAC74002.1
b0917,ycaR,PF03966 family protein YcaR,970672,970855,183,61,+,AAC74003.1
b0918,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,970851,971598,747,249,+,AAC74004.1
b0919,ycbJ,putative phosphotransferase YcbJ,971751,972645,894,298,+,AAC74005.1
b0920,elyC,envelope biogenesis factor,972621,973401,780,260,-,AAC74006.1
b0921,cmoM,tRNA cmo(5)U34 methyltransferase,973536,974322,786,262,+,AAC74007.1
b0922,mukF,chromosome partitioning protein MukF,974318,975641,1323,441,+,AAC74008.1
b0923,mukE,chromosome partitioning protein MukE,975621,976326,705,235,+,AAC74009.2
b0924,mukB,chromosome partitioning protein MukB,976325,980786,4461,1487,+,AAC74010.1
b0925,ldtD,"L,D-transpeptidase LdtD",981046,982894,1848,616,+,AAC74011.1
